a,ka,hgg,callret-3,callret-4
http://le-online.de/place/1135,http://le-online.de/place/arthur-nagel-strasse,http://le-online.de/place/arthurnagelstrasse,"Adresse(Arthur-Nagel-Str. 1 A/B,04249,Leipzig)",Point(12.3237417 51.3073579)
http://le-online.de/place/1138,http://le-online.de/place/bauernhofkindergarten-moelkau-im-Ökogut,http://le-online.de/place/bauernhofkindergartenmoelkauimkogut,"Adresse(Kelbestr. 3,04316,Leipzig)",Point(12.45162 51.32685)
http://le-online.de/place/1139,http://le-online.de/place/bei-den-schluempfen,http://le-online.de/place/beidenschluempfen,"Adresse(Zittauer Str. 2a,04347,Leipzig)",Point(12.41429 51.35575)
http://le-online.de/place/1140,http://le-online.de/place/blauer-elefant---kinderhaus-mit-integrativer-kindertagesstaette,http://le-online.de/place/blauerelefantkinderhausmitintegrativerkindertagesstaette,"Adresse(Tarostr. 17 - 19 ,04103,Leipzig)",Point(12.388308 51.323277)
http://le-online.de/place/1145,http://le-online.de/place/gruenauer-allee,http://le-online.de/place/gruenauerallee,"Adresse(Grünauer Allee 18,04209,Leipzig)",Point(12.3069739 51.31824)
http://le-online.de/place/1146,http://le-online.de/place/hand-in-hand---kinderkrippe-und-kindergarten,http://le-online.de/place/handinhandkinderkrippeundkindergarten,"Adresse(Linnéstr. 12,04103,Leipzig)",Point(12.39243 51.32602)
http://le-online.de/place/1147,http://le-online.de/place/haus-kinderland,http://le-online.de/place/hauskinderland,"Adresse(Neptunweg 29 a,04205,Leipzig)",Point(12.269104 51.3244204)
http://le-online.de/place/1149,http://le-online.de/place/kaenguru-(dschungel),http://le-online.de/place/kaengurudschungel,"Adresse(Gundermannstr. 16,04329,Leipzig)",Point(12.46307 51.35132)
http://le-online.de/place/1150,http://le-online.de/place/kaenguru---holzhaeuser-strasse,http://le-online.de/place/kaenguruholzhaeuserstrasse,"Adresse(Holzhäuser Str. 15,04299,Leipzig)",Point(12.4113546 51.3193207)
http://le-online.de/place/1151,http://le-online.de/place/kaenguru---richard-lehmann-strasse,http://le-online.de/place/kaengururichardlehmannstrasse,"Adresse(Richard-Lehmann-Str. 28 - 30,04275,Leipzig)",Point(12.3709566 51.3144861)
http://le-online.de/place/1153,http://le-online.de/place/kinderwerkstatthaus-gross-und-klein---guk,http://le-online.de/place/kinderwerkstatthausgrossundkleinguk,"Adresse(Neue Leipziger Str. 39,04205,Leipzig)",Point(12.26483 51.32024)
http://le-online.de/place/1156,http://le-online.de/place/kleiner-kiebitz,http://le-online.de/place/kleinerkiebitz,"Adresse(Bisamstr. 17,04329,Leipzig)",Point(12.4721116 51.3564623)
http://le-online.de/place/1157,http://le-online.de/place/kleiner-muck,http://le-online.de/place/kleinermuck,"Adresse(Tarostr. 9,04103,Leipzig)",Point(12.387026 51.3242817)
http://le-online.de/place/1160,http://le-online.de/place/lobstaedter-strasse,http://le-online.de/place/lobstaedterstrasse,"Adresse(Lobstädter Str. 14 a,04279,Leipzig)",Point(12.3891372 51.2980356)
http://le-online.de/place/1161,http://le-online.de/place/loessnig-ii,http://le-online.de/place/loessnigii,"Adresse(Kurt-Tucholsky-Str. 12,04279,Leipzig)",Point(12.4033265 51.3019471)
http://le-online.de/place/1162,http://le-online.de/place/maerchenland---kinderkrippe-und-kindergarten,http://le-online.de/place/maerchenlandkinderkrippeundkindergarten,"Adresse(Gerhard-Ellrodt-Str. 17 A,04249,Leipzig)",Point(12.3214081 51.2996183)
http://le-online.de/place/1163,http://le-online.de/place/marienkirchen-kindertagesstaette-(ev.-luth.),http://le-online.de/place/marienkirchenkindertagesstaetteevluth,"Adresse(Sommerfelder Str. 29,04299,Leipzig)",Point(12.4274998 51.3209338)
http://le-online.de/place/1164,http://le-online.de/place/max-und-moritz-(kita-und-hort),http://le-online.de/place/maxundmoritzkitaundhort,"Adresse(Gersterstr. 9/9a,04279,Leipzig)",Point(12.39014 51.2949)
http://le-online.de/place/1165,http://le-online.de/place/mosaik---evangelische-kindertagesstaette,http://le-online.de/place/mosaikevangelischekindertagesstaette,"Adresse(Ferdinand-Rhode-Str. 17 a ,04107,Leipzig)",Point(12.3662144 51.3303967)
http://le-online.de/place/1166,http://le-online.de/place/naseweis---kinderhaus,http://le-online.de/place/naseweiskinderhaus,"Adresse(Jörgen-Schmidtchen-Weg 4,04157,Leipzig)",Point(12.359673 51.3799062)
http://le-online.de/place/1167,http://le-online.de/place/naturkindergarten-wassermuehle,http://le-online.de/place/naturkindergartenwassermuehle,"Adresse(Vollhardtstr. 16,04279,Leipzig)",Point(12.38815 51.28914)
